"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9329","should be able to delete a comment from a task","chromium","Tue Mar 17 18:55:57 UTC 2026","passed","Tue Mar 17 18:56:06 UTC 2026","Task details modal management","ui/tasks.spec.ts","",""
"","7532","TC04 - Delete task successfully","chromium","Tue Mar 17 18:56:13 UTC 2026","passed","Tue Mar 17 18:56:21 UTC 2026","Task Management","ui/today.spec.ts","",""
"","0","TC03 - Create task successfully from sidebar","chromium","Tue Mar 17 18:55:49 UTC 2026","skipped","Tue Mar 17 18:55:49 UTC 2026","Sidebar tests","ui/sidebar.spec.ts","",""
"","491","should be able to create a task via API correctly for today","chromium","Tue Mar 17 18:55:18 UTC 2026","failed","Tue Mar 17 18:55:19 UTC 2026","API - Create Task","api/create.spec.ts","",""
"","7073","should be able to create a task correctly","chromium","Tue Mar 17 18:56:06 UTC 2026","passed","Tue Mar 17 18:56:13 UTC 2026","Task Management","ui/today.spec.ts","",""
"","7201","should be able to add a comment to a task","chromium","Tue Mar 17 18:55:50 UTC 2026","passed","Tue Mar 17 18:55:57 UTC 2026","Task details modal management","ui/tasks.spec.ts","",""
"","5723","should be able to login correctly","chromium","Tue Mar 17 18:55:20 UTC 2026","passed","Tue Mar 17 18:55:26 UTC 2026","Login tests","ui/login.spec.ts","",""
"","6467","should display the correct error message for invalid credentials","chromium","Tue Mar 17 18:55:42 UTC 2026","failed","Tue Mar 17 18:55:49 UTC 2026","Login tests","ui/login.spec.ts","",""
"","7650","TC05 - Edit task successfully","chromium","Tue Mar 17 18:56:21 UTC 2026","passed","Tue Mar 17 18:56:29 UTC 2026","Task Management","ui/today.spec.ts","",""
"","5482","Should dismiss add task modal","chromium","Tue Mar 17 18:56:29 UTC 2026","passed","Tue Mar 17 18:56:34 UTC 2026","Page Functionality","ui/today.spec.ts","",""
